dataset,best_layer_by_AUROC,best_layer_AUROC,second_best_layer,second_best_layer_AUROC,layer_spread
ambigqa__validation,24,0.7173863636363635,16,0.7002922077922078,0.04319805194805193
mmlu__validation,24,0.7345856000000001,16,0.7248095999999999,0.07835413333333341
triviaqa__validation,16,0.7959589485198403,24,0.7864558327847594,0.05129207727220986
truthfulqa__validation_eval,32,0.7981820667031165,16,0.7482230727173318,0.07886823400765453
wmt__test,16,0.5221150940269261,8,0.5151140815471026,0.020122862407195186
