dataset,layer_8,layer_16,layer_24,layer_32
ambigqa__validation,0.6741883116883116,0.7002922077922078,0.7173863636363635,0.7000649350649351
mmlu__validation,0.6562314666666667,0.7248095999999999,0.7345856000000001,0.6963136
triviaqa__validation,0.7529783853612422,0.7959589485198403,0.7864558327847594,0.7446668712476304
truthfulqa__validation_eval,0.7423455440131218,0.7482230727173318,0.719313832695462,0.7981820667031165
wmt__test,0.5151140815471026,0.5221150940269261,0.5019922316197309,0.5068944723058217
